    # EcoSim model file (10x10 grid, >=100 lines)
    GRID 10 10

    # Simulation parameters
    PARAM steps 30
    PARAM plantGrowth 0.25
    PARAM herbBirth 0.10
    PARAM predBirth 0.05
    PARAM starvationSteps 3
    PARAM migrateRate 0.02

    # CELL r c plants herbivores predators
    CELL 0 0 10 0 0
    CELL 0 1 13 2 1
    CELL 0 2 16 4 2
    CELL 0 3 10 1 0
    CELL 0 4 13 3 1
    CELL 0 5 16 0 2
    CELL 0 6 10 2 0
    CELL 0 7 13 4 1
    CELL 0 8 16 1 2
    CELL 0 9 10 3 0
    CELL 1 0 17 1 1
    CELL 1 1 11 3 2
    CELL 1 2 14 0 1
    CELL 1 3 17 2 0
    CELL 1 4 11 4 2
    CELL 1 5 14 1 0
    CELL 1 6 17 3 2
    CELL 1 7 11 0 1
    CELL 1 8 14 2 0
    CELL 1 9 17 4 2
    CELL 2 0 15 2 2
    CELL 2 1 18 4 0
    CELL 2 2 12 1 2
    CELL 2 3 15 3 0
    CELL 2 4 18 0 2
    CELL 2 5 12 2 0
    CELL 2 6 15 4 2
    CELL 2 7 18 1 0
    CELL 2 8 12 3 2
    CELL 2 9 15 0 0
    CELL 3 0 13 3 0
    CELL 3 1 16 0 1
    CELL 3 2 10 2 2
    CELL 3 3 13 4 0
    CELL 3 4 16 1 1
    CELL 3 5 10 3 2
    CELL 3 6 13 0 0
    CELL 3 7 16 2 1
    CELL 3 8 10 4 2
    CELL 3 9 13 1 0
    CELL 4 0 11 4 1
    CELL 4 1 14 1 2
    CELL 4 2 17 3 0
    CELL 4 3 11 0 1
    CELL 4 4 14 2 2
    CELL 4 5 17 4 0
    CELL 4 6 11 1 1
    CELL 4 7 14 3 2
    CELL 4 8 17 0 0
    CELL 4 9 11 2 1
    CELL 5 0 18 0 2
    CELL 5 1 12 2 0
    CELL 5 2 15 4 1
    CELL 5 3 18 1 2
    CELL 5 4 12 3 0
    CELL 5 5 15 0 1
    CELL 5 6 18 2 2
    CELL 5 7 12 4 0
    CELL 5 8 15 1 1
    CELL 5 9 18 3 2
    CELL 6 0 16 1 0
    CELL 6 1 10 3 1
    CELL 6 2 13 0 2
    CELL 6 3 16 2 0
    CELL 6 4 10 4 1
    CELL 6 5 13 1 2
    CELL 6 6 16 3 0
    CELL 6 7 10 0 1
    CELL 6 8 13 2 2
    CELL 6 9 16 4 0
    CELL 7 0 14 2 1
    CELL 7 1 17 4 2
    CELL 7 2 11 1 0
    CELL 7 3 14 3 1
    CELL 7 4 17 0 2
    CELL 7 5 11 2 0
    CELL 7 6 14 4 1
    CELL 7 7 17 1 2
    CELL 7 8 11 3 0
    CELL 7 9 14 0 1
    CELL 8 0 12 3 2
    CELL 8 1 15 0 0
    CELL 8 2 18 2 1
    CELL 8 3 12 4 2
    CELL 8 4 15 1 0
    CELL 8 5 18 3 1
    CELL 8 6 12 0 2
    CELL 8 7 15 2 0
    CELL 8 8 18 4 1
    CELL 8 9 12 1 2
    CELL 9 0 10 4 0
    CELL 9 1 13 1 1
    CELL 9 2 16 3 2
    CELL 9 3 10 0 0
    CELL 9 4 13 2 1
    CELL 9 5 16 4 2
    CELL 9 6 10 1 0
    CELL 9 7 13 3 1
    CELL 9 8 16 0 2
    CELL 9 9 10 2 0
